Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
JASMIN,3,40,15.164535206995906,11.81572199969279
JASMINE,24,578,121.31628165596725,170.73718289556084
JASON,5,1366,25.274225344993177,403.50690628950883
JASPER,104,247,525.7038871758581,72.96208334810298
JAVIER,6,204,30.32907041399181,60.260182198433235
JAX,126,35,636.910478693828,10.338756749731193
JAXON,5,206,25.274225344993177,60.850968298417875
JAXSON,7,92,35.383915482990446,27.17616059929342
JAY,25,135,126.37112672496588,39.87806174896317
JAYCE,4,287,20.219380275994542,84.77780534779578
JAYDEN,3,3954,15.164535206995906,1167.9841196696325
JAYLA,1,305,5.0548450689986355,90.09488024765753
JAYSON,1,148,5.0548450689986355,43.718171398863326
JAZMINE,6,52,30.32907041399181,15.360438599600629
JEAN,1,132,5.0548450689986355,38.99188259898621
JEFFERSON,8,93,40.438760551989084,27.471553649285738
JEFFREY,6,261,30.32907041399181,77.09758604799546
JENNA,2,125,10.109690137997271,36.924131249039974
JENNIFER,4,332,20.219380275994542,98.07049259745017
JENNY,21,124,106.15174644897134,36.62873819904765
JEREMIAH,1,1345,5.0548450689986355,397.3036522396701
JEREMY,3,984,15.164535206995906,290.66676119244266
JERRY,25,137,126.37112672496588,40.46884784894781
JESSE,22,116,111.20659151796997,34.2655937991091
JESSICA,3,448,15.164535206995906,132.33608639655927
JESSIE,17,81,85.9323661729768,23.9268370493779
JESUS,1,402,5.0548450689986355,118.74800609691255
JIMMY,24,96,121.31628165596725,28.3577327992627
JOEL,1,764,5.0548450689986355,225.6802901941323
JOHN,9,1646,45.493605620987715,486.21696028735835
JOHNATHAN,1,16,5.0548450689986355,4.726288799877117
JOHNNY,11,152,55.603295758984984,44.89974359883261
JOLIE,4,21,20.219380275994542,6.203254049838716
JONAH,2,423,10.109690137997271,124.95126014675127
JONAS,1,83,5.0548450689986355,24.517623149362542
JORDAN,18,936,90.98721124197543,276.4878947928113
JORDI,2,12,10.109690137997271,3.5447165999078374
JOSELYN,1,93,5.0548450689986355,27.471553649285738
JOSEPH,1,2843,5.0548450689986355,839.8024411281651
JOSEPHINE,2,279,10.109690137997271,82.41466094785721
JOSHUA,1,2286,5.0548450689986355,675.268512282443
JOURNEY,1,54,5.0548450689986355,15.951224699585268
JOY,17,125,85.9323661729768,36.924131249039974
JUAN,3,432,15.164535206995906,127.60979759668214
JUDAH,1,191,5.0548450689986355,56.42007254853308
JUDE,7,139,35.383915482990446,41.05963394893245
JUDY,11,64,55.603295758984984,18.905155199508467
JULIA,4,774,20.219380275994542,228.6342206940555
JULIAN,2,1317,10.109690137997271,389.03264683988516
JULIANA,1,309,5.0548450689986355,91.27645244762681
JULIE,15,84,75.82267603497952,24.813016199354863
JULIET,10,334,50.54845068998635,98.66127869743481
JULIETTE,5,351,25.274225344993177,103.68296054730425
JULIO,2,125,10.109690137997271,36.924131249039974
JULIUS,6,207,30.32907041399181,61.146361348410196
JUNE,24,82,121.31628165596725,24.222230099370222
JUNIOR,49,42,247.68740838093314,12.406508099677431
JUNIPER,12,42,60.65814082798362,12.406508099677431
JUSTICE,9,100,45.493605620987715,29.539304999231977
JUSTIN,11,2046,55.603295758984984,604.3741802842862
KADEN,1,179,5.0548450689986355,52.87535594862524
KAI,22,416,111.20659151796997,122.88350879680503
KAIA,7,23,35.383915482990446,6.794040149823355
KAILEY,2,79,10.109690137997271,23.33605094939326
KALEB,2,166,10.109690137997271,49.035246298725085
KALI,14,49,70.76783096598089,14.47425944962367
KAREEM,2,73,10.109690137997271,21.563692649439343
KAREN,2,221,10.109690137997271,65.28186404830267
KATE,9,222,45.493605620987715,65.577257098295
KATHERINE,1,684,5.0548450689986355,202.04884619474672
KATIE,32,149,161.75504220795634,44.01356444885565
KAYA,14,10,70.76783096598089,2.9539304999231977
KAYDEN,2,648,10.109690137997271,191.4146963950232
KAYLA,15,968,75.82267603497952,285.94047239256554
KAYLEE,11,799,55.603295758984984,236.01904694386351
KAYLEEN,2,62,10.109690137997271,18.314369099523827
KAYLEIGH,1,10,5.0548450689986355,2.9539304999231977
KEILY,1,48,5.0548450689986355,14.17886639963135
KEIRA,3,122,15.164535206995906,36.03795209906301
KEITH,3,22,15.164535206995906,6.498647099831035
KELLY,11,231,55.603295758984984,68.23579454822587
KELSEY,2,90,10.109690137997271,26.58537449930878
KELVIN,2,84,10.109690137997271,24.813016199354863
KENNEDY,8,159,40.438760551989084,46.96749494877884
KENNETH,1,256,5.0548450689986355,75.62062079803387
KENNY,11,101,55.603295758984984,29.834698049224297
KEVIN,16,1559,80.87752110397817,460.5177649380265
KEYLA,1,97,5.0548450689986355,28.65312584925502
